CLUE,ANS,POS
Moisture condensed at night ,dew,1
Prosecute ,sue,5
Tosca composer ,puccini,1
Planet second nearest to the sun ,venus,1
Deep red spice,paprika,1
Item inserted in a written record ,entry,4
Coma ,stupor,3
One who watches ,viewer,2
Unrest - upheaval ,turmoil,3
Remains of a prehistoric plant or animal ,fossil,1
Permissive,tolerant,1
Advise strongly or prod ,urge,2
Avoid or abstain from ,eschew,4
Lloyd Webber musical ,evita,3
New England state ,maine,1
"American state, capital Juneau ",alaska,1
