CLUE,ANS,POS,FOUND IN
Charge with crime ,indict,8,Indicted party
Enabling instructions for computer ,program,16,Run the program
Cold dish ,salad,7,Cold salad course
Onlookers ,audience,5,Audiences
Fascinated ,interested,13,Deeply interested
Belgian surreal painter ,magritte,1,Rene Magritte
"Sinew, maybe 3 ",tendon,3,Tendon (related but not a direct synonym for sinew)
Garden pest ,aphid,4,Aphids
Thread or tall tale ,yarn,4,Spinning yarn
Harvests ,crops,10,Collected crops
Period of rule ,reign,2,Reigning period
Charged particle,ion,1,Ionized
