CLUE,ANS,POS
Leg-wear for women ,tights,3
Device for stitching ,sewing machine,21
Trespasser ,intruder,7
Bubbles of water on the skin ,blisters,5
Excessively talkative person ,windbag,17
Little quarrel - leg wear,spat,2
Jester ,fool,47
Living being ,animal,17
Quantities of paper ,reams,3
Organs of hearing ,ears,2
Writing implement ,pencil,3
German playwright,brecht,4
Springiness ,elasticity,2
Covered in folds of cloth ,draped,12
Barrier; pressure unit ,bar,2
Manifestation of a deity; cyberspace icon ,avatar,2
"'Editions, publications (6)' ",issues,2
Writer of fiction books ,novelist,23
Structure for transporting ,vehicle,9
Dog lead ,leash,34
Unit of weight; cat ,ounce,7
Irritate ,rile,6
