CLUE,ANS,POS,FOUND IN
Force off ,repel,5,"Coercing retreat – Repulse, repel"
Acid used as disinfectant ,carbolic,7,"Carbolic acid (phenol, historically used for its antiseptic properties)"
Military chevron ,stripe,5,Insignia stripe
Decorative band on wall ,frieze,20,Frieze band
Exclamation on making a mistake ,oops,1,Oops!
People of the Netherlands ,dutch,1,Dutchmen
Characteristic pattern of symptoms ,syndrome,5,Classic syndrome profile
Element discovered by the Curies ,radium,2,Radium (also discovered with Pierre Curie and their daughter Irène Joliot-Curie in the same period as polonium).
"Oblong, square etc. ",shapes,1,"The word ""Polygon"" fits this description as it refers to any shape with multiple straight sides, which can be of varying lengths and angles, therefore inclusive of both oblong (elongated rectangle) and square shapes"
Milk pudding ,tapioca,11,Tapioca pudding
