CLUE,ANS,POS
Japanese fighter ,ninja,2
"Linchpin, principle support ",mainstay,6
Soft French cheese ,brie,2
Claw ,talon,1
Bite and grind food in the mouth,chew,2
Textile fibre,flax,6
Spicy pepper sauce ,tabasco,1
Heart rate ,pulse,1
"Start, launch ",initiate,3
Goodbye ,farewell,5
Sailing boat ,yacht,2
Grant to help defray costs ,subsidy,1
Indian melody ,raga,1
Sticky substance ,goo,8
Contract of insurance ,policy,1
Country's financial state ,economy,1
Speak to the residence ,address,1
Manifest; obvious ,evident,1
