CLUE,ANS,POS
Gas formed by vaporizing water at 100?C ,steam,1
One eighth of a mile,furlong,2
Pupil in a higher form ,senior,7
Boggy land ,swamp,4
Unmarried state entered in to by some clergy ,celibacy,1
Attractively old-fashioned ,quaint,11
The United States ,america,1
Over the .... - past life's prime ,hill,2
Boulevard,avenue,2
Jester ,joker,13
Aubergine ,eggplant,1
Recede ,ebb,11
To do with stars as realised ,sidereal,12
Nationality of citizens of Helsinki ,finnish,1
Scand. cured salmon ,gravlax,2
Large livestock farm ,ranch,1
It's used to treat disorders and diseases ,medicine,1
Terribly sad and distressing ,tragic,18
On the quiet,secretly,3
Not injured ,unhurt,1
Tongue ,language,1
Entrance round the corner of the house,side door,9
Long pointed weapons ,spears,4
"Objectives, aims ",purposes,3
Mary Shelley's monster ,frankenstein,3
Minor argument,spat,4
