CLUE,ANS,POS
Arches for trailing plants ,pergolas,4
Blacksmith's block ,anvil,1
UN children's organisation ,unicef,1
Tiered ,layered,1
Ending of film ,denouement,4
Bone in lower leg ,tibia,1
Requiring speedy action,urgent,1
Self-centred ,egocentric,1
"Alters, makes right ",amends,3
Ship's smokestack ,funnel,3
"Cotton, slave, estate ",plantation,1
Unjust ,unfair,8
Sikh headdress ,turban,1
Citrus fruit ,lime,3
Car's home (or hospital?) ,garage,1
Entertaining ,amusing,1
"Notable, full of incidents ",eventful,1
