CLUE,ANS,POS
Ignorant (of) ,unaware,1
Large wall painting,mural,1
Ceremony - ritual,rite,1
Tragic prince of Elsinore ,hamlet,2
Lend an ear ,listen,1
Male singing voice ,baritone,2
Ridicule ,deride,3
Greek island ,rhodes,5
"Incidents, occasions ",events,4
Remove rind ,peel,1
Scottish landowner ,laird,1
Curved under-parts of the feet ,arches,1
"Brain operation, once used to treat mental illness",lobotomy,1
Rear; support ,back,1
Aimlessly floating ,adrift,1
Sleepwalker ,somnambulist,1
Stopper - Irish port,cork,2
