CLUE,ANS,POS
Band of colours in a rainbow ,spectrum,1
Set of steps ,ladder,3
"Barricade, railing ",barrier,7
Heap of combustible material for burning a body ,pyre,1
(Ilustrated) list of items,catalogue,2
Gambling game ,roulette,4
Flower arrangement ,bouquet,1
One or the other,either,1
Side of London associated with Cockneys ,east end,1
A soft white cheese ,brie,8
Circular frame with spokes,wheel,1
Main part of concert hall ,auditorium,1
The concluding part of a performance ,finale,1
Responder to question ,answerer,1
Climb ,ascend,1
Charlotte Bronte novel ,jane eyre,1
Consume too much ,overeat,10
Adhesive,glue,1
Rabbit burrow ,warren,6
