CLUE,ANS,POS
1940s' jazz characterised by virtuosity ,bebop,6
Disclose or uncover ,reveal,1
Scintillate ,sparkle,2
Brawl (colloq.) ,punch-up,6
Peak ,summit,2
A knotted mess,tangle,1
Publicise ,advertise,1
Embankment that should prevent flooding ,levee,1
Over to the other side,across,1
Pouched animal from down under ,kangaroo,1
Infer ,deduce,2
Astonishing ,amazing,1
Introductory music ,prelude,1
Barbaric,cruel,9
Plunge headlong ,plummet,5
Anger ,ire,3
Kayak-like boat,canoe,1
Fame ,stardom,20
Foe ,enemy,2
"Reassurance, cheer ",encouragement,1
Actual ,real,8
Place of worship ,chapel,9
Principal actor in a film ,star,3
Infuriating ,exasperating,2
Element in diamonds ,carbon,1
Promiscuous ,immoral,3
Manner of walking ,gait,3
Distinct and discrete ,separate,5
"Curt, terse ",laconic,15
Specifications by which something may be assessed ,standards,2
Unit of data ,byte,1
Ten year period ,decade,1
Arrive at ,reach,12
