CLUE,ANS,POS,FOUND IN
Triangle with two sides of equal length ,isosceles,5,Isosceles triangle (two sides of equal length)
Diminutive animal doctor ,vet,1,Veterinarian
Excessively instructive ,didactic,7,Excessively didactic
Well-known or famous person ,celebrity,6,Celebrity chef
Sign up ,enrol,2,Enroll
War god - chocolate bar - spoils,mars,1,Mars bar
Takes control without authority ,usurps,8,Usurps authority without mandate
French definite article ,les,1,Here are some examples of how the definite article is used in French:
Relating to the kidneys ,renal,2,Renal (related to the kidneys)
Enfold ,wrap,5,Wrap up
Additional strengthening dose ,booster,1,Booster shot
