CLUE,ANS,POS,FOUND IN
Paradise,garden of eden,8,Garden of Eden (literal and metaphorical paradise)
Stroll ,walk,2,Leisurely walk (definition)
Suffering of body or mind ,pain,17,Pain (general state of discomfort)
Buildings with few partitions ,open-plan,1,Open-plan offices
Roman god ,cupid,15,Cupid (Eros in Greek mythology) - The god of desire and affection.
By word of mouth ,oral,1,Orally
U2 guitarist,edge,1,The Edge
Event at winter Olympics,ski jump,4,Ski jumping
Haulage vehicles ,tractors,18,Tow tractors (for hauling multiple smaller loads)
Fe ,iron,4,Ferrum (Latin word for iron)
Strong ,potent,2,"Amongst numerous potential answers, the term “starving” aptly encapsulates this extreme condition and fits well within the context of crossword clues that often seek direct yet descriptive terms."
