CLUE,ANS,POS,FOUND IN
"Like oxygen, neon, etc ",gaseous,7,Gaseous element
Period (of enchantment?),spell,3,Spellbound timespan
Banknote; beak ,bill,4,Feathered bill
1987 Best Actress Oscar winner for 'Moonstruck' ,cher,1,"Cher, iconic actress"
Night attire ,pyjamas,5,Pyjamas (British spelling of pajamas)
"Of skin, yellowish in colour ",sallow,7,Sallow skin
Taj Mahal city ,agra,1,"Agra, India - The city where the iconic Taj Mahal is located."
Small narrow river ,stream,1,Streamlet
Sacred beetle ,scarab,1,Divine scarab
Bird of prey ,eagle,2,"Carnivore: An organism primarily feeding on meat, often representing birds with a predatory nature like eagles or hawks."
In favour of ,pro,5,Pro-choice
Push lips out as sign of annoyance ,pout,4,Pouting mouth
