CLUE,ANS,POS,FOUND IN
Japanese island ,okinawa,5,Okinawa - An archipeagal grouping to the South; renowned for unique Ryukyuan culture
"Henrik -, dramatist from fourteen down (Hedda Gabler) ",ibsen,1,Henrik Ibsen (Norwegian dramatist who wrote Hedda Gabler)
Proprietors ,owners,2,Owners (simple and direct answer)
"Shun, avoid ",eschew,14,"Eschew – Avoid habitually, especially on moral or practical grounds."
US witch-trial town ,salem,1,"The historical significance and global recognition make ""Salem"" an excellent fit for a crossword clue referencing a US town associated with witch trials."
Female singing voice ,alto,3,"Alto (a lower range than soprano, often associated with maturity and depth)"
Business that serves other businesses ,agency,13,Outsourcing agency
Greek master of geometry ,euclid,1,"Euclid's contributions to geometry include definitions, postulates (axioms), and propositions (theorems) that have been foundational for mathematical progress throughout centuries."
Old name for Spanish peninsula ,iberia,1,"Iberia (ancient region corresponding roughly with modern Spain, Portugal, Andorra, southern France, and a small part of north-western Italy)"
Entrust with secret ,confide,1,Confide in
Vigour ,energy,1,"Evelyn Witts, I would approach a crossword clue related to ""Vigour"" by first considering its meaning - energy, vitality or strength"
Viral disease causing paralysis ,polio,1,Poliomyelitis
Stifle ,smother,31,Smother creativity or freedom
Visit casually ,drop in,2,Drop in 
