CLUE,ANS,POS
Sloping - likely ,inclined,1
Slope ,slant,6
Workplace representative of unionised employees ,shop steward,5
"Exposed, revealed ",uncovered,5
Unit of power ,watt,1
Pet rodent ,gerbil,13
Curiously ,oddly,9
Flying horse of myth ,pegasus,1
"Tiny organisms, can be good or bad ",bacteria,2
"___ Jones, Harrison Ford hero - US state",indiana,1
Small square tile used in mosaics ,tessera,1
Hindu sage or saint ,rishi,1
Not fully developed ,immature,1
Seaside resort in Denbighshire ,rhyl,1
French port ,le havre,2
