CLUE,ANS,POS,FOUND IN
Glass or plastic vessel ,bottle,1,Bottle (both glass or plastic)
Speak contemptuously or drink informally ,scoff,8,Mockery (scoffing at someone which is a form of speaking contemptuously)
German playwright ,brecht,3,"Brecht - Bertolt Brecht, known for his epic theatre and critical plays"
Brushwood ,scrub,20,Scrub waste
Destructive insect ,pest,3,Bark beetle (destructive pests like the mountain pine beetle)
Charity garden party ,fete,11,Benevolent flora fete
Grime; rock music style ,grunge,9,Grunge (specifically associated with Seattle)
Songbird ,lark,3,Lark  
Vote in ,elect,3,Electioneer(s)
Broken pieces ,fragments,16,Sundered fragments
"In America, the little finger ",pinkie,7,Pinkie ring finger - combining terms with the word 'ring' which is often associated with fingers; less likely to be an answer
