CLUE,ANS,POS,FOUND IN
Burn ,combust,7,On the brink of combustion
Givers as of blood ,donors,1,Donors: individuals who regularly donate their blood for medical use.
"Variety of agate, used as a gemstone",onyx,20,Black onyx agate (a unique form of chalcedony with black inclusions).
Fine fabric ,silk,1,"Silk: A luxurious, smooth, and shiny natural fiber produced by silkworms."
Very detailed ,intricate,1,"Penelope Wordsmith, the world-renowned crossword puzzle connoisseur with an extensive background in linguistics and cognitive science, possesses a unique set of skills that enable her to solve even the most intricate clues effortlessly"
Habitual worldwide traveller ,globetrotter,1,Frequent globetrotter
Jewish meal ,seder,3,Seder table
Comprehended ,understood,2,Clearly understood
Increase in size,grow,2,Growing larger
Chrysalis ,pupa,3,Pupal period
Consider likely to happen,expect,3,Expected occurrence: Routine maintenance
Avocado ,alligator pear,2,Alligator Pear (common nickname for avocado)
Virus disease leaving pockmarks ,pox,1,Smallpox scars: A historical viral infection that leaves disfiguring pockmarked skin after healing.
Relation by marriage ,in-law,7,In-law relation
Overcome; original copy ,master,13,Masterfully handle trials and tribulations
Bounce back ,rebound,10,Rebound from challenges
Response ,answer,8,"Cross-Disciplinary Connections - Considering my background in crossword solving research, I would think about how other fields—such as psychology or anthropology—might inform potential answers"
Overprotective government deplored by Thatcher ,nanny,4,State nanny
Exhibit ,show,2,On show
Undergarment to put in right of possession ,vest,1,Ownership vesting
