CLUE,ANS,POS
Calculate approximately ,estimate,1
Stay on ,remain,1
Reverie ,dream,1
Sway on the brink,teeter,3
Of birth ,natal,2
Hungarian stew ,goulash,1
Breastbone ,sternum,7
Aperture or opportunity ,opening,5
Wooden hammer ,mallet,1
Direction of the rising sun ,east,1
Peas grow in one ,pod,1
Crown or headband as sign of sovereignty ,diadem,1
The defendant ,accused,17
Put up with ,tolerate,1
Slightly drunk ,tipsy,4
Distance from equator measured in degrees ,latitude,1
Fluid collected by bees ,nectar,2
South American river ,amazon,1
A facial twitch ,tic,3
Old ,ancient,9
