CLUE,ANS,POS
Arab or Muslim at time of the Crusades ,saracen,1
Floor-covering ,carpet,1
Power and prestige ,influence,3
Don't hold on,let go,2
Having no intelligible meaning ,nonsense,3
Miracle (anag) ,reclaim,9
English port ,dover,1
"Sanctuary, asylum ",refuge,2
Intense anger,fury,1
Crossbred ,hybrid,1
Enthusiastically ,eagerly,13
Exhaust ,use up,8
"Old German kingdom, capital Berlin ",prussia,2
Warlike Hunnish king ,attila,1
Hybridisation ,crossbreeding,2
Forswear ,abjure,7
Cited (anag) - proclamation,edict,7
More sparse,thinner,1
A French mister ,monsieur,1
Halcyon -- yellow ,golden,1
