CLUE,ANS,POS,FOUND IN
Exclamation from Archimedes ,eureka,1,Eureka!
Stretch ,extend,3,Straining - Exerting effort to extend oneself or something physically.
Contentious point ,issue,20,Contentious Issue
Sealed so as to be airtight,hermetic,17,Hermetically-sealed
Settle ,solve,1,Resolve - To find a solution to a problem or conflict and decide on an outcome.
What cows chew ,cud,1,"Ruminant - Refers to animals like cows, sheep, and deer who have a four-chambered stomach and regurgitate food for further digestion (known as ""chewing their cud"")."
Disband troops ,demob,4,Demobilize
Flower of forgetfulness,poppy,1,Poppy (genus Papaver) - Known for its sleep-inducing properties and sometimes associated with memory lapses due to its sedative effects.
"Cloth, material ",fabric,1,Fabric - A woven or knitted textile used for clothing and other purposes.
Band crew member ,roadie,17,Roadie (road crew member)
Tell ,narrate,4,"Narrate - To tell (a story) in detail, often with dramatic flair."
Ability to act ,power,11,Willpower
Native of Calcutta region ,bengali,1,"Bengali - Individuals from the Bengal region, where Kolkata (formerly known as Calcutta) is located."
It resembles an onion ,shallot,5,Shallots
Songbird,thrush,4,"Thrush - Medium to large passerine birds belonging to the Turdidae family, often recognized by their rich and complex songs."
