CLUE,ANS,POS
Skin blemish ,wart,10
Enclosure set back or indented ,recess,3
Left high and dry ,marooned,5
Tropical skirt ,sarong,1
"Appalling, awful ",dreadful,10
Open valley ,dale,1
Huge legendary beings ,giants,2
Window in roof ,skylight,1
PhD or D.Phil ,doctorate,1
Tough and elastic ,rubbery,1
Indian cotton rug ,dhurrie,1
Makes intelligible ,explains,5
Peculiar ,odd,2
Run away secretly to marry,elope,1
Fertiliser ,manure,5
Verity ,truth,1
Grotto ,cave,2
Very skilled or proficient ,adept,7
Brief moment ,second,2
