CLUE,ANS,POS,FOUND IN
Small rocket engine for spacecraft control ,thruster,1,Thrusters
Animal collection ,zoo,1,Zoological assortment
"Barricade, railing ",barrier,4,Gate barrier
Heap of combustible material for burning a body ,pyre,4,Pyre construction
Deep rift,chasm,5,Deep-seated chasm
Seat; fish ,perch,7,Angler's perch: referring metaphorically to the ideal chair or spot for an angler in nature while waiting for a catch.
"Dalai . . . ., chief priest and once ruler of Tibet ",lama,1,"Lhamo Tenzin Gyatso, the XIVth Dalai Lama"
One or the other,either,1,Either-or scenario
Monster of Crete,minotaur,1,"Minotaur: A creature from Greek mythology, half-man and half-bull, famously residing in the Labyrrannian labyrinth on the island of Crete."
Circular frame with spokes,wheel,1,Wheel-like structure
Based on logic ,rational,3,Irrational
"By this means, as result of this ",hereby,5,Thereby
Charlotte Bronte novel ,jane eyre,2,"Jane Eyre - The resilient, strong-willed protagonist who navigates challenges while searching for her sense of belonging and love."
Consume too much ,overeat,11,Overeating complications
Adhesive,glue,3,Gluey
Oriental mushroom; E ikon (anag.) ,enoki,3,"Enoki (Flammulina velutipes): A slender white mushroom commonly found in East Asia that grows on wood or bamboo, often used in stir-fries and soups."
Rabbit burrow ,warren,3,Warren home
