CLUE,ANS,POS
Small barrels as for beer ,kegs,5
Arch used in croquet ,hoop,5
Good humour ,gaiety,10
Coniferous tree ,larch,11
Salt water expanse,ocean,2
Home made of blocks of snow ,igloo,2
Unique designation in radio communications ,call sign,3
Curative mineral spring ,spa,2
Incendiarism ,arson,6
Creator of ceramics ,potter,2
Hereditary molecule ,gene,5
"TV's USS Enterprise, for instance ",starship,44
Short journey to carry a message ,errand,2
Colour of embarrassment? ,scarlet,17
Large indefinite number ,myriad,5
