CLUE,ANS,POS
"Inscribed slab found 1799, making it possible to decipher Egyptian hieroglyphics ",rosetta stone,1
Band worn around the neck ,choker,1
Tiredness,fatigue,13
Exotic flower ,orchid,1
Bovine animals ,cattle,10
Hostelry for travellers ,inn,1
Set of clothes or group of people ,outfit,3
Immediately appealing or noticeable,eye-catching,8
Wanderer ,rover,4
It's distilled from molasses ,rum,1
Lustre ,sheen,12
"Medieval Japanese trained in martial arts, assassination and espionage ",ninja,1
Curly-haired breed of dog ,poodle,1
About-turn ,reversal,2
Nursing officer ,matron,1
Wine merchant ,vintner,4
