CLUE,ANS,POS,FOUND IN
Died by submersion ,drowned,17,Drowned animal
Grumbler ,grouch,7,Grouchy
Muck ,dirt,10,Dirty water
Money lodged to secure release pending trial ,bail,1,Bail bond
Annulment ,cancellation,1,Cancellation of a legal agreement
Secret police of the former German Democratic Republic,stasi,1,"Known for its ruthless methods of surveillance, intimidation, and detention, the Stasi maintained political control and suppressed dissent."
Broadcast ,transmit,9,Transmitter
Prophesy ,foretell,1,Foretelling
Style of art such as that of Jackson Pollock ,abstract expressionism,1,Abstract Expressionism**
"Competent, fit ",able,2,Capable** - Having the necessary skills and resources to do a job effectively
