CLUE,ANS,OUTPUT
Eating disorder ,anorexia,"['Eating disorders are serious mental health conditions that can have severe physical and emotional consequences, and they should not be taken lightly or romanticized.', 'If you or someone you know is struggling, please reach out to a trusted adult, such as a parent, teacher, or counselor, or seek professional help from a licensed therapist or medical professional.', 'There are many resources available to support you, including online resources, support groups, and helplines']"
It's a grand race ,national,"['Marathon', 'Sprint', 'Dash', 'Relay', 'Obstacle course', 'Steeplechase', 'Derby', 'Grand prix', 'Endurance race', 'Speed race', 'Cross-country race', 'Long-distance race', 'Ultramarathon', 'Ironman (triathlon)', 'Bike race', 'Boat race', 'Ski race', 'Snowboard race', 'Skate race', 'Dog sled race']"
Highest level of sporting or professional activity ,big league,"['Elite', 'Top-tier', 'Premier', 'Prodigious', 'World-class', 'Ultimate', 'Expert', 'Masterly', 'Skilled', 'Pinnacle', 'Paragon', 'Incredible', 'Extraordinary', 'Exceptional', 'Supreme', 'Apex', 'Zenith', 'Summit', 'Crest', 'Pinnacle']"
Fairground ride ,big dipper,"['Carousel', 'Ferris wheel', 'Roller coaster', 'Merry-go-round', 'Swing ride', 'Bumper cars', 'Tilt-a-whirl', 'Log flume', 'Train ride', 'Haunted house', 'Funhouse mirrors', 'Spinning teacups', 'Octopus ride', 'Scrambler', 'Flying saucer', 'Twin dragon roller coaster', 'River rapids', 'Cobra roller coaster', 'Inverted roller coaster', 'Stampede ride']"
Trouble ,harass,"['Problem', 'Difficulty', 'Obstacle', 'Hindrance', 'Challenge', 'Test', 'Trial', 'Ordeal', 'Crisis', 'Predicament', 'Complication', 'Conundrum', 'Puzzle', 'Enigma', 'Riddle', 'Perplexity', 'Dilemma', 'Pickle', 'Quandary', 'Snag']"
"Apparently (2,3,4,2,2) ",on the face of it,"['Evidently', 'Obviousness', 'Clearly', 'Visibly', 'Manifestly']"
Disconcert ,wrong-foot,"['Disturb', 'Ruffle', 'Unsettle', 'Disrupt', 'Startle', 'Take aback', 'Cause unease', 'Make nervous', 'Unbalance', 'Throw off-guard', 'Cause discomfort', 'perturb', 'Jolt', 'Shake up', 'Disarray', 'Fluster', 'Put on edge', 'Make one feel uneasy', 'Unhinge', 'Faze (slightly related, but fits the theme)']"
Burgundian wine ,macon,"['Pinot Noir', 'Chardonnay', 'Merlot', 'Cabernet Sauvignon', 'Syrah', 'Gamay', 'Beaujolais', 'Malbec', 'Chenin Blanc', 'Riesling', 'Gewürztraminer', 'Côtes du Rhône', 'Grand Cru', 'Premier Cru', ""Appellation d'Origine Contrôlée (AOC)"", 'Vintage', 'Oaky', 'Buttery', 'Fruity', 'Tannic']"
Very hot period ,heat wave,"['Sweltering', 'Sizzling', 'Scorching', 'Blistering', 'Roasting', 'Torrid', 'Fiery', 'Sultry', 'Steamy', 'Stifling', 'Burning', 'Infernal', 'Flaming', 'Broiling', 'Blinding', 'Dazzling', 'Sweltry', 'Oppressive', 'Furnace-like', 'Stiflingly hot']"
Wit ,wisecracker,"['Quick-witted', 'Clever', 'Smart', 'Intelligent', 'Brilliant', 'Astute', 'Insightful', 'Sharp-minded', 'Ingenious', 'Creatively clever', 'Humorous', 'Sarcastic', 'Ironic', 'Witty remark', 'Puns (a form of wit)', 'Wordplay', 'Satire', 'Sardonic', 'Quip', 'Repartee']"
Depletes the fools ,saps,"['Wipes out', 'Drains the life from', 'Exhausts', 'Devoid of energy or resources', 'Depleted funds', 'Empty-handed', 'Penniless', 'Bankrupt', 'Broke', 'Impoverished', 'Asset-less', 'Cash-strapped', 'Poverty-stricken', 'Resource-depleted', 'Energy-sapped', 'Drained of vitality', 'Lifeless', 'Barren', 'Fruitless', 'Drain on resources']"
"Italian archbishop of Canterbury, 1093-1109 ",anselm,[]
Very lazy ,bone idle,"['Indolent', 'Slothful', 'Lethargic', 'Slacker', 'Idle', 'Inactive', 'Dozy', 'Drowsy', 'Somnolent', 'Sleepyhead', 'Couch potato', 'Lounging', 'Reclining', 'Slumped', 'Relaxed', 'Leisurely', 'Idle hands', 'Inert', 'Torpid', 'Listless']"
Imperial land measures,acres,"['Acre', 'Hectare', 'Square mile', 'Section', 'Quarter section', 'Town lot', 'Building lot', 'Field', 'Pasture', 'Meadow', 'Grove', 'Orchard', 'Plantation', 'Estate', 'Manor', 'Demesne', 'Landholding', 'Patrimony', 'Inheritance', 'Landed property']"
Job for easy money ,sinecure,"['Part-time work', 'Freelance gigs', 'Online surveys', 'Selling handmade goods online', 'Delivery driving', 'Dog walking', 'House sitting', 'Tutoring', 'Testing apps and websites', 'Affiliate marketing', 'Selling unwanted items on eBay or Craigslist', 'Renting out a room on Airbnb', 'Working as a cashier or retail sales associate', 'Food delivery work (e.g., Uber Eats, GrubHub)', 'Lawn care and landscaping', 'Data entry or virtual assistance', 'Handyman or handywoman services', 'Selling stock photos online', 'Taking online gig work through platforms like Fiverr', 'Working as a mystery shopper']"
