CLUE,ANS,POS,FOUND IN
"Irish organisation for women, initially ",ica,9,Irish Girls Athletic Union (historical context)
Jump on one foot ,hop,1,Hopscotch
In a drowsy or semi-conscious state ,comatose,16,Comatose (if extreme)
One of the biblical twelve ,apostle,18,Alpha male among the apostles – often considered Peter due to his prominent role in the New Testament.
Curved oriental sabre ,scimitar,5,"Scimitar (often used to describe various types of Middle Eastern swords with a curve, including the Ottoman 'kilij')"
Become entitled; modify ,qualify,13,Qualify for rights
Widely known and esteemed ,noted,9,Noted figure
Closely-stitched embroidery ,needlepoint,10,Needlepoint sampler
"John, Paul, George and Ringo ",beatles,5,Wings (the band formed by McCartney after The Beatles)
Friendly - type ,kind,2,Kindhearted
Extensiveness - measure ,length,9,Lengthwise extent
