CLUE,ANS,POS
Pungent red salad root ,radish,1
Triangle with two sides of equal length ,isosceles,1
Once more ,again,1
French cathedral city ,chartres,2
Serviette ,napkin,1
Annuls an act ,repeals,3
Yellow fruit ,banana,1
Root vegetable ,parsnip,3
Large sailing ship ,galleon,8
Exclamation of pain - that hurt! ,ouch,1
Rotary energy converter,turbine,1
Continuous,unbroken,9
Wanderer ,nomad,1
French definite article ,les,4
Smooth little stone ,pebble,1
Slaughterhouse ,abattoir,5
Older or higher in standing ,senior,1
Very bright red ,scarlet,2
