CLUE,ANS,POS,FOUND IN
Sesame Street character -- patron saint of sailors ,elmo,3,Elmo (Elmo's endearing personality and love of adventure could make him a compelling advocate for sailors)
Hamlet's mother ,gertrude,1,Queen Gertrude
Divine food,manna,1,Manna from heaven
Support; in return ,back,3,Payback
Discourage ,deter,15,Deterred
Cold meal ,salad,1,Iceberg salad
Not long ago ,recent,1,Recently
Comedian ,comic,13,Observational comic
Nominate ,appoint,4,Appointee
Be next to ,adjoin,15,Adjoining
