CLUE,ANS,POS
Food for queen and larvae ,royal jelly,3
Descend vertical slope using rope ,abseil,3
"Hard to pin down, slippery ",elusive,1
Pulled along roughly ,dragged,1
Remove hair (which could be narrow) ,shave,2
Patron or backer ,sponsor,2
Solid - business ,firm,8
Cavalry sword ,sabre,4
Knee-cap ,patella,1
Official ban on trade ,embargo,1
Cry like a wolf,howl,1
Chess piece ,knight,6
Xylophone-like instr. ,marimba,4
A one-storey dwelling house ,bungalow,1
Eye inflammation ,iritis,9
Doctor Who's machine ,tardis,1
Buyers' line,queue,2
