CLUE,ANS,POS,FOUND IN
One eighth of a mile,furlong,20,"One-eighth furlongs (historical or informal usage, as one furlong is approximately 220 yards or about 0.8 miles; thus, an eighth would be roughly 27.5 yards)."
Powerful pre-1871 state of central Europe ,prussia,1,"Kingdom (as in ""Kingdoms"" like Prussia, which had significant power before unification)"
Pupil in a higher form ,senior,1,Senior Student
Unmarried state entered in to by some clergy ,celibacy,10,Vow of Poverty (often includes vows such as celibacy in monastic settings)
Fortune-teller,palmist,11,Palmistry Expert
The United States ,america,8,American Dream
Aubergine ,eggplant,1,"Eggplant - The most common English name for this purple, vegetable often used in cooking worldwide."
Scand. cured salmon ,gravlax,9,"Gravlax (Modern interpretation combining gravlaks with the Scandinavian verb 'gravare' meaning to bore, pound) – A method of preparing salmon that involves a combination of curing and smoking"
Large livestock farm ,ranch,3,Cattle Ranch
Part of the New Testament ,gospels,12,Gethsemane - The garden where Jesus prayed before being arrested; mentioned in all four canonical gospels as part of his final night leading up to crucifixion.
Farm store ,barn,6,Livestock Auction Barn
Talon ,claw,1,"Eagle's Claw (A talon in this context refers to an eagle, as their claws are often referred to as talons)"
A thieving bird ,magpie,20,"Mischievous magpie (magpies are often associated with thievery in folklore and mythology, especially the belief that they snatch shiny objects; however, this is a metaphorical association rather than direct evidence of their behavior)."
Grown-up tadpole ,frog,1,Froglet
Young horse ,colt,2,Colt (for males)
Colour for aristocracy or emperors ,purple,1,Imperial Purple
Group of states ruled by one ,empire,11,Empire (as a group of states)
Mrs Shakespeare ,anne hathaway,1,"Sonnet - A poetic form, often attributed to William Shakespeare's wife Anne Hathaway as she may have written sonnets during her marriage."
"A powerful explosive, initially ",tnt,2,TNT (Trinitrotoluene)
Flock,herd,20,"Herds (Lambs) - A group of young sheep collectively known as lambs when they are under one year old; herds can consist of both male and female lambs, usually accompanied by their mother."
Spiny succulent ,cactus,1,Hedgehog Cactus (Echinocactus grusonii)
Put into hock ,pawn,2,Pawned
Cordial,warm,2,"Hospitality - A friendly and generous reception towards guests, comparable to the warmth found in a cordial demeanor."
Claw ,talon,1,"Talon - A sharp, hooked claw on an eagle or bird-like creature."
"Tall building of offices, flats ",tower block,14,Tower block (UK)
