CLUE,ANS,POS
"Admittance, entree ",access,9
Alter ,change,1
Split ,separate,2
Land surrounded entirely by water,isle,2
"Support, maintain ",uphold,2
Niggardly ,stingy,1
"Bolstered, sustained ",supported,2
One shoots from a concealed place ,sniper,1
Device for opening or closing a circuit,switch,1
Summer trousers ,shorts,1
Large airship ,zeppelin,1
Prove - protest ,demonstrate,1
Legally responsible ,liable,1
Fly larva ,maggot,1
"Mindless, pointless ",senseless,1
Petty quarrel ,spat,2
Consent ,agree,1
Deserter ,renegade,13
Paper fastener ,staple,1
Haitian city,port-au-prince,1
Desert illusion ,mirage,1
Accepts as true ,believes,1
Mechanical man,android,3
