CLUE,ANS,POS,FOUND IN
Scam -- musical instrument ,fiddle,1,Phony fiddle
Region of South America ,patagonia,9,Patagonia - a region shared by Chile and Argentina characterized by its vast grasslands and windswept landscapes
Woven container ,basket,1,Basketry
Easy gallop,canter,8,Light canter
Gather together ,assemble,1,Assembled group
Branch of knowledge ,science,2,"Cognitive Science - An interdisciplinary field that examines the nature of thought processes, intelligence, memory, perception, decision-making, and problem-solving using a combination of psychology, neuroscience, artificial intelligence, philosophy, anthropology, linguistics, and other related disciplines."
Minor argument ,spat,13,Minute spat
Bishops' dioceses ,sees,7,Episcopal sees
Flow of air or water ,current,4,Wind currents
Evaluated ,assessed,1,Judged or assessed based on pre-established criteria or standards
Become limp,droop,5,Drooping
Saturate; precipitous ,steep,4,Rapid and steep decline or fall
Scottish monster ,nessie,2,"Nessie: The popular nickname for the Loch Ness Monster, believed to be a large aquatic creature dwelling in Scotland's Loch Ness."
Young geese,goslings,1,"Goslings: These are young geese, typically under one year old, that have recently hatched from their eggs or been born in the wild."
"Bend, distort ",twist,1,Warp: To change the shape or form by bending or twisting.
"In yoga, a centre of spiritual power in the body ",chakra,1,"Chakra (more specifically, the Anahata or heart chakra is often associated with love and compassion, which indirectly influences one's spiritual well-be boneness)"
Frank ,open,9,Open-hearted
Absence of sound ,silence,10,Non-vocal silence
