CLUE,ANS,POS
Formerly capital of Nigeria ,lagos,1
Deliberately avoid ,shun,1
Set up; equipment ,rig,11
Access ,entry,1
"Be present at, turn up for ",attend,1
Low-ranking naval officer ,ensign,1
Being away,absence,1
Return to earlier state ,revert,3
West African country ,mali,20
Major Asian river ,indus,5
Musical instrument like a small guitar ,mandolin,3
Demand firmly ,insist,4
Branch of mathematics ,algebra,1
Underground passage ,tunnel,1
Speaker ,orator,5
Devilment or roguishness ,mischief,1
"Adversary, antagonist ",opponent,4
Of more than one ,plural,16
Regular habit ,ritual,3
"Notions, thoughts ",ideas,3
Largest city in New Mexico ,albuquerque,1
Bird expert ,ornithologist,1
One receiving medical care ,patient,1
Loud cry of a bull ,bellow,2
"Handle, run ",manage,7
Discomfort due to changing time zones when flying,jet lag,1
