CLUE,ANS,POS
Noctambulist ,sleepwalker,6
Cloak-and-dagger ,secret,5
Man-made jet of water ,fountain,4
T; Argentinian dance ,tango,1
Lawyer (in Scotland) ,procurator,11
Christmas decoration ,tinsel,6
Those giving a party,hosts,1
Season ,spring,1
Go away ,depart,1
Musician's aid for pitch ,tuning fork,4
Took a secret look ,peeked,1
Defame falsely,libel,1
Cut down on ,reduce,1
Weep ,cry,1
Feeling guilt or remorse ,ashamed,7
Hot condiment ,mustard,4
Bird (of peace?) ,dove,1
Unhappy ,sad,3
