CLUE,ANS,POS,FOUND IN
Moroccan stew cooked in a pot with a conical lid ,tagine,1,"Tagine (both the name for the stew and the earthenware pot it's traditionally cooked in, which has a distinctive conical lid)"
Indefatigability,stamina,9,Unwavering stamina
Specialised school,academy,9,Special Education Academy
Narrow runner for the snow ,ski,1,Skier
Statement of transactions and costs ,account,5,Accounting record
"Metal, symbol Cr ",chromium,2,"Stainless Steel Production: A key component in making staincuhly steel, which resists rusting and corrosion due to the presence of Chromium."
Hearth ,fireplace,7,Hearthstone (the stone base of a fireplace)
Sermon or example ,lesson,16,Catechism (sermon or series of lessons)
Spanish wine cocktail ,sangria,1,"Sangria - A popular mixed drink originating from Spain, often containing red wine and chopped fruit."
'The once and future king' ,arthur,1,Arthurian legend
Large water lily ,lotus,4,Giant lotus
