CLUE,ANS,POS
Moroccan stew cooked in a pot with a conical lid ,tagine,1
Adversary ,opponent,4
Oblivious ,unaware,1
Indefatigability,stamina,6
"American state, capital Montgomery ",alabama,1
Formal set of clothes ,suit,6
"Surreptitious, furtive ",stealthy,1
Specialised school,academy,1
Tenth month,october,1
Hearth ,fireplace,1
Sermon or example ,lesson,8
"Awful, dreadful ",terrible,6
Backs of legs ,calves,3
Wordy ,verbose,15
Tailless marsupial down under ,wombat,8
(In medicine) an alcoholic solution of a drug ,tincture,2
Small mound from burrowing ,molehill,2
Town in Surrey ,woking,2
Difficulty in reading and spelling ,dyslexia,1
Stronghold ,fortress,1
