CLUE,ANS,POS
Living in trees ,arboreal,1
Language widespread in East Africa ,swahili,1
Lustrous fabric ,damask,6
The 50th state ,hawaii,1
Rush - a job for life?,career,1
Clean and orderly ,tidy,1
"Southern African kingdom, capital Mbabane ",swaziland,1
West African country ,ghana,1
Ancient Greek with weak heel ,achilles,1
Pirates' flag ,jolly roger,1
Brought back to original condition ,restored,4
Fall down ,tumble,3
River in central Italy ,arno,3
Proverbially gluttonous seabird ,cormorant,7
Determined attempt ,effort,6
Earth (Latin) ,terra,2
Comparable ,similar,1
Toothed wheel driven by a chain ,sprocket,3
Musical drama ,opera,1
Heavenly being ,angel,1
Insubstantial,thin,3
Very unkind,cruel,1
