CLUE,ANS,POS
Comparable (to) ,analogous,3
One without mother or father ,orphan,1
A conductor wields it ,baton,1
Pamphlet giving information ,leaflet,11
Harsh ,severe,2
Individual unit in a list ,item,3
Land jutting into sea ,point,4
Capital of Nebraska ,lincoln,1
Job favouritism shown to relatives ,nepotism,1
Uppermost point ,apex,5
In danger ,at risk,2
A fool being cool and remote ,aloof,1
Interfere ,meddle,1
Simple - computer language ,basic,1
Hole for e.g. coin ,slot,15
Adoration ,worship,3
