CLUE,ANS,POS
An old servant or slavish person ,lackey,4
Someone not aristocratic or royal ,commoner,1
"Grew, progressed, evolved ",developed,3
Supporter in a conflict,ally,2
Sickness of the stomach ,nausea,1
"Parts, pieces, portions ",segments,1
Suffering of body or mind ,pain,10
Dishonest man ,rogue,2
Seeker of alms ,beggar,1
"View, judgement ",opinion,3
French soft cheese ,brie,1
"Small, sharp sliver",splinter,15
Golf peg ,tee,1
Small piece ,bit,7
Strong ,potent,14
Legal representative ,lawyer,2
