CLUE,ANS,POS
Ethiopian capital ,addis ababa,1
Patch up or renovate ,revamp,8
Madness ,insanity,1
Latticework to support plants ,trellis,1
Relating to love ,romantic,1
Insanity ,madness,1
Percussion instrument ,marimba,4
Greek waters ,ionian sea,2
Room at the bottom ,basement,1
Tree trained to grow against wall,espalier,1
Dairy product ,cheese,1
Concluding ,ending,3
"Flourish, do well ",prosper,1
West African republic,niger,9
Head of abbey ,abbot,1
Material for pottery ,clay,1
Immeasurably bad ,abysmal,1
Treat cruelly ,oppress,8
Large ocean fish ,marlin,2
Strong drive for success ,ambition,1
