CLUE,ANS,POS
Decoration ,embellishment,6
Person whose earnings support the family ,breadwinner,1
Man-made lake or tank,reservoir,1
Filled pasta squares ,ravioli,4
Nonmilitary person ,civilian,1
Start ,begin,3
False excuse ,pretext,1
Lizard that can change its skin colour ,chameleon,1
Indian tea state ,assam,1
Not merited ,unearned,4
"Fake, phoney ",bogus,2
Decorates ,adorns,1
Zero,nil,2
Hairstyle cut shortly and evenly all round,bob,6
Pressing of a dangerous situation to the limit,brinkmanship,1
Person with refined tastes in food and drink ,epicure,1
Rabbit coop ,hutch,1
Soundless ,silent,1
Get off a horse,dismount,1
Resident ,citizen,7
Magical being ,fairy,6
Capital of South Carolina ,columbia,1
"Guest, caller ",visitor,1
Capital of Rwanda ,kigali,1
Morally right ,ethical,1
Ever ,always,1
Coterie ,clique,8
One of London's airports ,stansted,3
Organ of sight ,eye,1
Structure in an apiary,beehive,1
Unruffled ,composed,2
Builder's safety wear ,hard hat,1
Jealous emotion - deadly sin,envy,1
