CLUE,ANS,OUTPUT
Seemingly,quasi,"['Apparent', 'Apparently', 'Apparently', 'Apparently', 'Apparently', 'Apparently', 'Apparently', 'Apparently', 'Apparently', 'Apparently', 'Apparently', 'Apparently', 'Apparently', 'Apparently', 'Apparently', 'Apparently', 'Apparently', 'Apparently', 'Apparently', 'Apparently']"
"Rubbish, nonsense ",tosh,"['Ephemeral', 'Fragrant', 'Ignorant', 'Irrelevant', 'Languish', 'Languish', 'Miscellery', 'Miscellaneity', 'Miscellaneous', 'Nonsensical', 'Nonsensicality', 'Paradoxical', 'Quirky', 'Redundant', 'Redundantly', 'Redundless', 'Redundancy', 'Rambling', 'Ramblingly', 'Whimsical']"
A fencing sword ,epee,"['Sabre', 'Halberd', 'Foil', 'Sword', 'Dagger', 'Katana', 'Wakizashi', 'Tanto', 'Shinto', 'Kris', 'Kukui', 'Kintsugi', 'Tanto', 'Katanas', 'Wakizashi', 'Katana', 'Saber', 'Sword', 'Dagger', 'Foil']"
Run in drops ,trickle,"['Drip', 'Stream', 'Run', 'Flow', 'River', 'Streamlet', 'Runlet', 'Rain', 'Drizzle', 'Dewdrop', 'Splash', 'Splashing', 'Drizzle', 'Raining', 'Waterfall', 'Runaway', 'Drippage', 'Raincloud', 'Dripping', 'Dripping']"
-- Minnelli ,liza,"['Angelo', 'Barocco', 'Chapel', 'Church', 'Choir', 'Colonnade', 'Diaper', 'Fresco', 'Garland', 'Icon', 'Interior design', 'Italian', 'Maestro', 'Minnelli style', 'Music box', 'Ornament', 'Painting', 'Portrait', 'Sculpture', 'Tapestry']"
Galled,irked,"['Atrocious', 'Brave', 'Cruel', 'Desolate', 'Extinct', 'Guilty', 'Humane', 'Insensitive', 'Malicious', 'Nasty', 'Cruel', 'Malicious', 'Nasty', 'Nefarious', 'Savage', 'Vicious', 'Vile', 'Wicked', 'Wraith', 'Zombie']"
See 13,provocateur,"['Blind', 'Blink', 'Stare', 'Gaze', 'View', 'Observe', 'Scan', 'Spot', 'Watch', 'Observe', 'Scan', 'Gaze', 'See', 'View', 'Observe', 'Sight', 'Scan', 'Look', 'Look', 'Look']"
Become fixed,lodge,"['Settle', 'Halt', 'Fix', 'Staple', 'Brace', 'Anchor', 'Steadfast', 'Steady', 'Mortar', 'Mortar', 'Staple', 'Rig', 'Brace', 'Fixture', 'Fixer', 'Mortar', 'Anchor', 'Fixture', 'Staple', 'Fixative']"
Scottish hillsides,braes,"['Glen', 'Loch', 'Mountain', 'Hill', 'Ridge', 'Waterfall', 'River', 'Pass', 'Valley', 'Moor', 'Forest', 'Cairn', 'Cave', 'Waterfall', 'Sunset', 'Sunrise', 'Highland', 'Isle', 'Peak', 'Valley']"
Legitimate - deserved ,rightful,"['Accord', 'Affirmation', 'Authenticity', 'Assurance', 'Authorization', 'Authenticity', 'Authorization', 'Authenticity', 'Assurance', 'Authenticity', 'Legitimacy', 'Legal', 'legitimacy', 'Legitimateity', 'Legitime', 'Legitimate', 'Legitimately', 'Legitimate', 'Legitimely', 'Legitimacy']"
