CLUE,ANS,POS,FOUND IN
Suitable ,fit,2,Fitting
Beer manufacturer ,brewer,4,Brewery
Seventh sign of the Zodiac,libra,7,"Libra (Note: The traditional order of zodiac signs is Aries, Taurus, Gemini, Cancer, Leo, Virgo, Scorpio, Sagittarius, Capricorn, Aquarius, Pisces; however, in astrology, the seventh sign can be considered Libra as it follows Scorpio and precedes Sagittarius)"
Thong ,g-string,5,"G-string (for adult contexts, may not be appropriate for all audiences)"
Travel instantly (sci-fi) ,teleport,1,Teleportation
Woven from wool ,knitted,11,Knitted from sheep's fleece
German emperor ,kaiser,4,Kaiser Wilhelm II
Marry ,wed,1,Wedded
Canvas sunshield ,awning,16,Shading canvas awning
Enthusiastic praise ,acclaim,9,Enthusiastic acclaim
Up to a time that ,till,15,Participating in activity till end date
West African river ,gambia,3,Gambia River
