CLUE,ANS,POS,FOUND IN
Degree document ,diploma,2,Diploma Certificate - The official document granted upon graduation that signifies the completion of a course of study and conferment of the degree.
A thieving bird ,magpie,2,Magpie-robin
Grown-up tadpole ,frog,1,Froglet
Leading performer,star,4,Star attraction
Large soft bread roll ,bap,1,"Bap (British term for a large, round bread roll)"
"A powerful explosive, initially ",tnt,2,TNT (trinitrotoluene)
Fine earthenware ,porcelain,9,Porcelain (although traditionally associated with China)
Put into hock ,pawn,6,"The term ""hock"" refers to pawning valuable items, typically jewelry or antiques, for a loan and agreeing upon its return within an agreed time frame."
British naval commander at Trafalgar ,horatio nelson,5,"Sea Lion (A nickname for Horatio Nelson, often used in crosswords and puzzles)"
Figure of a person made of ice crystals ,snowman,10,Snowman (when made of ice)
