CLUE,ANS,POS
Cover for a gramophone record ,sleeve,14
Style popular in the 1920s and '30s ,art deco,4
Take part in contest,compete,4
First Greek letter ,alpha,1
Channel north of Isle of Wight ,solent,3
Objectives ,aims,1
Five-cent coin (US) ,nickel,7
Small stone ,pebble,1
Science of speech sounds,phonetics,4
Walk arrogantly ,swagger,1
American region of religious fundamentalism ,bible belt,3
Animal with a sting in its tail ,scorpion,4
Balkan country,macedonia,5
Dispensary ,pharmacy,9
Very strong wind ,gale,8
Clarified butter used in Indian cooking ,ghee,1
Gem weight unit,carat,1
