CLUE,ANS,POS
Of a horse ,equine,1
Long pillow ,bolster,2
Female sheep ,ewe,1
Plucked instrument ,harp,9
Afflicted with feeling of imminent sickness ,nauseous,1
Long thin flag ,streamer,4
Sound loud and harsh ,blare,1
Circus controller ,ringmaster,1
Regular salary ,stipend,11
Announce ,proclaim,3
Fusillade ,salvo,3
(Of door) slightly open ,ajar,1
Public sale to the highest bidders ,auction,1
Mythical female warriors of Scythia ,amazons,1
"Ridicule, mockery ",derision,1
Cut of meat from between rib and haunch ,loin,1
Meddle or interfere with ,tamper,3
Clamorous ,noisy,1
A long arduous march ,trek,3
Disagree heatedly ,argue,1
Light volcanic rock ,pumice,1
It's thrown in a field event ,javelin,1
Inhabitant of a city ,citizen,2
Agreement ,harmony,13
Small falcon,kestrel,2
Draught of medicine ,potion,3
Official procedure ,protocol,1
Underground passage ,tunnel,1
Plenteous ,ample,8
Roman emperor ,nero,5
Militant proponent,zealot,18
Mediterranean island ,cyprus,3
Large army guns ,artillery,3
"Hot and bothered, rattled",flustered,14
Threefold ,triple,6
Memo ,note,1
Church residence ,vicarage,3
Portuguese Atlantic isles ,azores,1
Give assent ,concur,8
