CLUE,ANS,POS,FOUND IN
Fast-moving stream ,torrent,13,Streaming torrent
Net for fishing at sea ,trawl,7,Oceanic trawl
Prolonged public dispute,controversy,1,Lengthy controversy
Gain by work ,earn,1,Earning
Pig meat ,pork,5,Pork loin
Hold affectionately ,embrace,5,Heartfelt embrace
Scrounge ,beg,1,Beg for crumbs
Picture ,photo,11,Photographic reference
Top for bottle or eye protector ,lid,3,Childproof lid
Event causing great damage ,catastrophe,18,Environmental catastrophe
Unpleasant coldness ,chill,1,Chilly
