CLUE,ANS,POS
One who believes there is no god,atheist,1
Bird kept for eggs and meat ,fowl,3
"'Refrain from, stop (6)' ",desist,3
Stir (up public opinion?),agitate,3
Religious official ,cleric,10
"Sea-god, son of Poseidon ",triton,1
Shut ,closed,1
Rubbish dropped ,litter,1
Blunt and candid,plain-spoken,3
Unexpected failure or error ,glitch,3
Set in the soil for growth ,planted,1
Dance originating in Cuba ,rumba,2
Oration,speech,1
Togetherness ,unity,5
Cessation of hostilities to allow peace talks ,truce,1
