CLUE,ANS,POS,FOUND IN
Bad smell,stench,3,Pungent stench
Prove (claim) false ,rebut,6,"Clearly communicate how each piece of evidence disproves aspects of the initial claim, leading to a comprehensive rebuttal."
Pertaining to sight ,visual,1,Visually
Mythical giant ,titan,3,Titania-like figure
Light red ,pink,9,Pinkish red
Pedestrian refuge ,traffic island,7,Traffic island for pedestrians
Declared to be untrue ,denied,5,Denied by authority
Autumn; drop ,fall,1,Falling leaves
Lacking strength,weak,1,Weakened
In the Land of Nod ,sleeping,20,Sleeping world
Scribe ,writer,6,Copywriter's work
Sign (cheque) on back ,endorse,2,Endorsement
Wizardry,magic,1,Magical arts
Settled up ,paid,5,Bills paid off
Cook in an oven ,bake,1,Baked
Hot dusty wind ,sirocco,6,"Sirocco (specific hot, dusty wind in the Mediterranean region)"
Fruit tree trained to grow against a wall ,espalier,1,Espaliered
Short-lived fad ,craze,2,Fleeting craze
"A fast warship, sounds leisurely ",cruiser,6,Leisurely cruiser (contextually opposite)
Item of footwear ,shoe,8,Pump (shoe)
Concerning the self ,personal,4,Personal struggle
Magnify,enlarge,1,Enlarged
Informal goodbye; see you ,so long,9,So long!
Ethical ,moral,1,Morally sound
Land of the tzars ,russia,2,Russian Empire
