CLUE,ANS,POS
Miniature tree ,bonsai,1
"Way, course ",route,4
Japanese island ,okinawa,4
"Dirty, grimy ",grubby,1
Chic ,stylish,3
Elastic item,rubber band,2
Assault ,attack,1
Proprietors ,owners,1
"Shun, avoid ",eschew,4
US witch-trial town ,salem,1
Female singing voice ,alto,6
Elongated fish ,eel,1
Lazy ,idle,2
Cruel dictator ,despot,2
Greek master of geometry ,euclid,1
Duct that carries urine ,ureter,1
Entrust with secret ,confide,1
Sudden rush,surge,1
Brazilian dance ,samba,1
Sudden sharp decrease in quantity ,dip,4
