CLUE,ANS,POS,FOUND IN
Triangle with two sides of equal length ,isosceles,1,Isosceles triangle
Diminutive animal doctor ,vet,1,Veterinary nurse
Excessively instructive ,didactic,1,Overly didactic
Exclamation of pain - that hurt! ,ouch,1,Ouch!
Sign up ,enrol,15,Enroll
Of the moon ,lunar,1,Lunar surface
War god - chocolate bar - spoils,mars,2,"Mars Bar (playing on ""Mars,"" known for chocolate bars and mythology)"
French definite article ,les,3,les (plural for both genders)
Additional strengthening dose ,booster,3,Booster injection
Older or higher in standing ,senior,1,Seniority
