CLUE,ANS,POS
Protein (catalyst) ,enzyme,1
Homeric legendary island of King Odysseus ,ithaca,1
Of the immediate past ,recent,1
Alias ,pseudonym,12
Where one grows fruit - play ,cherry orchard,10
Deficient,lacking,2
Flat-topped height ,plateau,1
Offspring of two different species ,hybrid,1
Enquire,ask,1
Medicine for constipation ,laxative,1
Small dark-purple plum ,damson,4
Dead or dilatory ,late,1
Loft ,attic,1
Bunches ,clusters,2
Too tolerant or generous ,indulgent,6
Exhibit ,showcase,2
"Hi, howdy ",hello,1
