CLUE,ANS,POS
Book published once a year ,annual,1
Warming alcoholic drink with sugar and spices ,mulled wine,2
Unclean or indecent ,dirty,2
Soft leather shoes originally worn by Native Americans ,moccasins,1
Taut or strained ,tense,2
"Animal fat used in candles, soap etc ",tallow,1
Hillock ,knoll,4
Military land force ,army,1
Austrian city where Mozart was born ,salzburg,1
Horse-drawn vehicle ,carriage,1
Capable of being heard ,audible,1
Light resilient plastic made of polystyrene ,styrofoam,3
Forearm bone ,ulna,2
Animal's lair ,den,1
