CLUE,ANS,POS,FOUND IN
"Clothing, apparel",attire,1,Fashionable attire
Two times ,twice,4,Twice as much
Self-satisfied ,smug,11,Smug (often negative connotation but related to self-satisfaction)
"Make out, distinguish by eye ",discern,2,Easily discernible
Decisions of courts on issues of fact or law ,findings,12,Relevant findings
Qualified - expert ,able,6,Knowledgeable
Automatic machine ,robot,3,Robotic
Desiccating ,drying,1,Drying out
Pre-Aztec Mexicans ,toltecs,7,Toltecs (predecessors to the Aztec civilization)
Lively Parisian dance ,cancan,15,Cancan (traditional French high-energy dance)
Shoves ,pushes,1,Pushes forcefully
Brigham Young state ,utah,1,Utah originator
Patois ,dialect,4,Local dialect
