CLUE,ANS,POS,FOUND IN
Stick (to) ,adhere,1,Adhere to
Set down in writing ,record,9,Recorded
Lingerie item -- fielding position ,slip,3,Slip (a type of lingerie)
Put a new product on the market,launch,22,"Post-launch Support and Updates: Provide ongoing support and updates for the game, including new puzzle content, special events, and bug fixes, to ensure that players continue to enjoy the game after launch."
Preparation used in setting hair ,gel,1,Hair gel
Dog -- tooth,canine,2,Canine tooth
Pocket for a watch ,fob,8,Fob-attached fissure
View ,look,3,Scenic overlook
Oxford college; window ,oriel,7,Oriel College - Chapel window
"Skill, cunning ",craft,1,Crafty
Pacifist leader during India's struggle for independence ,gandhi,1,Mahatma Gandhi
