CLUE,ANS,POS,FOUND IN
Collection of items of information ,data,19,License plate numbers or vehicle identification for transportation-related data
Employ - undertake - oppose ,take on,2,"Take on an activity, duty, or responsibility: embark upon, venture into, start"
Excerpts from a film - or aggressive outbursts ,scenes,1,Violent scenes
Seethe ,boil,1,Boiling hot
Short ,brief,1,Briefly
Designed to reduce wind resistance,streamlined,2,Streamlined shape
Lowest point ,nadir,11,Depressive nadir
Strong and sharp-smelling ,acrid,9,Acrid (if the smell is unpleasant)
"Serious, solemn ",earnest,12,Gravely earnest
Competing ,vying,14,Vying parties
Defeated or hit repeatedly ,beaten,1,Beaten down
Of foods) made from milk ,dairy,1,Dairy-derived
Disagreement,dissent,13,Dissenting voice
Sensation ,feeling,1,Physical feeling
