CLUE,ANS,POS,FOUND IN
"Cricket, table-tennis and baseball implement ",bat,2,Bats
(In bridge) clubs or diamonds ,minor suit,8,Minor suits
Spicy pepper sauce ,tabasco,5,Tabasco liquid
Paris stock exchange ,bourse,1,Bourse de Paris
Clap ,applaud,1,Applauding
"Brogue or loafer, perhaps ",shoe,2,Scottish shoe style
Subsequent ,next,2,Next in line
Woollies ,knitwear,14,Knitwear (includes items made with wool yarn)
Lifted ,raised,2,Raised from the ground
A Hindu spiritual teacher ,guru,1,Guruji: An affectionate term for a respected Indian religious leader or spiritual guide in the Hindu tradition.
(Of computer memory) able to be read in non-sequential order ,random access,1,Random Access Memory (RAM)
Skilful ,deft,19,Deftly handled situation (handled with skill or expertise).
Swift ,fleet,20,Fleetingly
