CLUE,ANS,POS,FOUND IN
Analysed ,examined,1,Examined in detail
Mass of bubbles ,froth,1,Aeration-induced froth
At a later time ,afterward,4,Afterwards
Small road,lane,2,Narrow lane
Indonesian dish ,satay,19,Sate kambing (mutton satay)
Of dubious legality ,shady,2,Shady dealings
Lower extension of collar on jacket or coat ,lapel,4,Deeper lapels
Pencil/cigarette remnant ,stub,3,Ashy stub
Chinese martial art ,kung fu,2,"Kung Fu (功夫) - An umbrella term encompassing various Chinese martial art styles focusing on combative techniques, physical conditioning, and mental discipline."
Military training ,drill,1,Drill sergeant
Honey producer ,bee,1,Apiarist: A person who keeps bees and extracts honey from them; an individual actively involved in the management of a bee colony for the purpose of producing honey.
Pioneer scientist ,galileo,5,Galilei (Galileo Galilei - instrumental in the development of modern astronomy)
"Conduct business, negotiate ",transact,8,Economic transactions
Doctor's temporary replacement ,locum,3,Locum tenens doctor
Prepare (material) for publishing ,edit,1,"Finalize manuscript: Review, proofread, and edit the document to ensure it is error-free and ready for submission."
A cutter and engraver of gems ,lapidary,2,Lapidary Artisan
Preserve made with citrus fruits ,marmalade,4,Grapefruit marmalade
Regard as likely to happen ,expect,3,Expected
