CLUE,ANS,POS
Decoration ,embellishment,3
Man-made lake or tank,reservoir,1
Start ,begin,1
US state ,kansas,15
Lizard that can change its skin colour ,chameleon,1
Without a particular aim or purpose - say a choice ,random,7
Not merited ,unearned,7
"Fake, phoney ",bogus,7
Obscured ,veiled,8
Decorates ,adorns,1
Zero,nil,3
"Subject to change, variable ",unstable,13
Hairstyle cut shortly and evenly all round,bob,1
Pressing of a dangerous situation to the limit,brinkmanship,5
Person with refined tastes in food and drink ,epicure,8
