CLUE,ANS,POS
Disclose or uncover ,reveal,1
Scintillate ,sparkle,1
Peak ,summit,1
Nothing ,zero,3
Publicise ,advertise,4
Embankment that should prevent flooding ,levee,2
Over to the other side,across,1
Pouched animal from down under ,kangaroo,1
"Calm, pacify, appease ",placate,11
"Obstinate, tenacious ",stubborn,2
Introductory music ,prelude,1
Barbaric,cruel,11
"Obligations, responsibilities ",duties,1
Anger ,ire,8
Kayak-like boat,canoe,1
Calf flesh ,veal,2
One's university,alma mater,1
IX,nine,1
