CLUE,ANS,POS
Large waterbird ,goose,2
Absorptive process ,osmosis,1
Culinary herb ,thyme,2
One bringing charges ,accuser,2
Dawn to dusk ,daytime,2
Cymru ,wales,1
Dispute (a statement) ,challenge,4
Pill - stone ,tablet,1
Smoke-stack ,funnel,3
Extended ,stretched,6
One that eats everything ,omnivore,1
Painful heart condition ,angina,1
Articulate ,eloquent,2
Shaving foam ,lather,1
Unchanging in pitch ,monotone,6
Jump suddenly ,leap,1
(Of voice) rough and harsh ,hoarse,4
Iran's capital ,tehran,1
"Of better quality, like American lake ",superior,1
Exclamation of misfortune ,alas,1
Take out ,extract,1
