CLUE,ANS,POS
(US) lorry driver ,trucker,2
City devastated in World War II ,coventry,8
Bodkin ,needle,10
One works among trees ,forester,1
Allow ,permit,12
Male deer ,stag,2
Average (but poor),mediocre,1
Catch fire ,ignite,1
Present or easily available ,on hand,12
Earliest; good degree ,first,4
Swift deer-like animal ,antelope,2
Repair ,mend,4
Detective ,sleuth,1
Impediment,obstacle,1
Unwilling to change views ,intransigent,19
"Disappointment, being thwarted",frustration,3
Jewish salutation ,shalom,1
