CLUE,ANS,POS,FOUND IN
Booking (in restaurant) ,reservation,1,Reservation made
Period (of enchantment?),spell,4,Magical spell duration
Banknote; beak ,bill,1,Currency bill with bird design
"Cringing, fawning ",servile,20,Excessive eagerness to impress with servile gestures
"Of skin, yellowish in colour ",sallow,2,Sallow-skinned
Statement of money owed,invoice,14,Invoice amount pending payment
Swimming stroke ,crawl,6,Crawl (another name for freestyle)
Draw (brows) together ,knit,2,Tight-knit group
Small narrow river ,stream,1,Streamlet
Sacred beetle ,scarab,2,Mayan sacred scarab
"'Circus tent (3,3)' ",big top,3,Big top design
In favour of ,pro,3,Pro-active stance
Push lips out as sign of annoyance ,pout,1,Pouting mouth
Explicit or in detail ,specific,7,Detailed narrative with specifics
Cardinal number ,seventeen,17,Seventeenth
Entrance ,gate,1,Gateway
PhD or D.Phil ,doctorate,1,Doctorate holder
Private teacher ,tutor,1,Individual tutoring
Run away secretly to marry,elope,5,Elopement couple
Irish ferry port ,rosslare,1,Rosslare Europort
Grotto ,cave,1,Cavernous dwelling
